voice_actor_master_id,follower,"created_at","updated_at","name","description",favourites_count,friends_count,listed_count,"screen_name","profile_image_url",statuses_count,"raw_data"
1907,8135,"2016-01-30 20:25:48","2016-01-30 20:25:48","石黒千尋@2/28そんらぶ♪","北海道夕張産❀声優・石黒千尋です。井上喜久子お姉ちゃんの元で日々修行中❀VOCALOID4結月ゆかり純穏凛/ネイルカンタービレ・ダニャ役/こどもちゃれんじ/ぷよクエ・サキュバス、チキータ、エルマ/SR麻雀・藤原綾/声優口演応援隊/ビーナスイレブンびびっど！・雷土れい/ノラガミ・弁財天★※DMは対応不可です。",466,4160,262,"chihiro_ishi","http://pbs.twimg.com/profile_images/680701043609440256/7MQZEG4l_normal.png",22811,NULL
1908,8097,"2016-01-30 20:25:48","2016-01-30 20:25:48","松田利冴。","双子の【り】っぽい顔の方、まつだりさえです。
転んだ時はそのまま腕立て、ぶつかった時はそのままブリッジ致しましょう( ´灬` )!!
【アニメ】Dance with Devils(葛葉アズナ)/庶民サンプル(壬生麻矢)/ヴァルキリードライヴ(モンロー)他【ラジオ】FIVE STARS木曜日",986,337,379,"ReSAEnter","http://pbs.twimg.com/profile_images/621859035680149504/xRimogEa_normal.jpg",13054,NULL
1909,8050,"2016-01-30 20:25:48","2016-01-30 20:25:48","春野ななみ。","81プロデュースの新人声優です。
見かけと中身が合わないのはデフォです。

▼ニッポン朗読アカデミー
▼アイドルマスターシンデレラガールズ(上田鈴帆)
▼俺タワー▼MURAMASA-雅-▼戦国アスカZERO▼ザクセスヘブン
▼12歳。(蒼井結衣)
▼ななみんはうす。 
https://t.co/i5Z32XqefW",454,80,640,"nanami326","http://pbs.twimg.com/profile_images/623778902498938884/keobKiYl_normal.jpg",3019,NULL
1910,7903,"2016-01-30 20:25:48","2016-01-30 20:25:48","宮崎羽衣","こんにちは！声優の宮崎羽衣です。ブログ始めましたo(^-^)o",0,56,635,"ui_ui_HELLO","http://pbs.twimg.com/profile_images/3157260146/99bb65cc649a5530420991e96dc87f4d_normal.jpeg",1006,NULL
1911,7883,"2016-01-30 20:25:48","2016-01-30 20:25:48","尾崎真実","動物と豆と散歩がすきです。声のお仕事をしております。つぶやきはポツポツですが、よろしくお願い致します(●´ー｀●)",21,226,575,"mamiko_3","http://pbs.twimg.com/profile_images/682388537921044481/7ujQRtHz_normal.jpg",7635,NULL
1912,7757,"2016-01-30 20:25:48","2016-01-30 20:25:48","Ｌｙｎｎ ☆","声優。アーツビジョン所属。リン。",43,103,351,"Lynn_0601_","http://pbs.twimg.com/profile_images/686870765237477377/8LXyluTp_normal.jpg",3218,NULL
1913,7286,"2016-01-30 20:25:48","2016-01-30 20:25:48","大和田仁美","青二プロダクション  ジュニア所属。声のお仕事をしています。よろしくお願いいたします(*・ω・*)",57,259,396,"owada_hitomi","http://pbs.twimg.com/profile_images/648161046918594560/eeTQHFwX_normal.jpg",3260,NULL
1914,7268,"2016-01-30 20:25:48","2016-01-30 20:25:48","中村太亮","声優・俳優の中村太亮です。舞台では出演だけじゃなく、脚本・演出もやります。 マウスプロモーション所属",0,86,450,"daisuke19850921","http://pbs.twimg.com/profile_images/580094020271009792/9r4cppLq_normal.jpg",1458,NULL
1915,7191,"2016-01-30 20:25:48","2016-01-30 20:25:48","千菅春香 オフィシャル","ダンデライオン所属、千菅春香（ちすがはるか）公式アカウントです。スタッフや時々本人が、まじめに楽しくつぶやきます⭐︎ NewSingle『ジュ・ジュテーム・コミュニケーション』発売中！",1,3,588,"chisugaofficial","http://pbs.twimg.com/profile_images/611731053858783232/hW17XKYS_normal.jpg",501,NULL
1916,7059,"2016-01-30 20:25:48","2016-01-30 20:25:48","海保えりか","海保えりかです｡フリーで声や歌のお仕事をしています｡ お仕事のご依頼お問い合わせはメールにてどうぞ(*^^)v趣味はロードバイクでヒルクラ！2匹の猫と生きてます｡｢D.C.III｣陽ノ下葵｢ブラック･ブレット｣天誅ガールズの天誅ブラック/太鼓の達人｢東京特許キョ許可局局長!!｣歌唱｡アーケードで遊べます！CDも発売中！",309,183,364,"Erica_ism","http://pbs.twimg.com/profile_images/688756756227293184/8ghTRJzB_normal.jpg",6180,NULL
1917,7056,"2016-01-30 20:25:48","2016-01-30 20:25:48","原優子","演劇集団円所属。最近は主に声のお仕事させていただいてます。日々精進！！",267,141,666,"krs2kn","http://pbs.twimg.com/profile_images/684005872452804608/480A9RC-_normal.jpg",4960,NULL
1918,6880,"2016-01-30 20:25:48","2016-01-30 20:25:48","のぐちゆり","声のお仕事をさせて頂いております。ハロプロといきものがかりがとてもだいすき（＾ν＾）",784,180,690,"yuri_nogu","http://pbs.twimg.com/profile_images/671915238988509184/fhORX13M_normal.jpg",1573,NULL
1919,6606,"2016-01-30 20:25:48","2016-01-30 20:25:48","大地葉(たいちよう)@僕街放送中","VIMS所属の声優です！バンブラPファミリー！【出演】［女の子］→浦和の調ちゃんの桜、遊戯王ARC-Ⅴのアマンダ、愛天地無用の紅、監獄学園の杏子、恋愛ラボのサヨ、ガルパンのペパロニ、ナナシスのチャチャetc［男の子］→僕だけがいない街のケンヤ、アカメが斬るの皇帝、白猫プロジェクトのドゥドゥetc",1024,166,417,"Taicho_Taichi","http://pbs.twimg.com/profile_images/688742678163406849/KcQ43kKm_normal.jpg",3522,NULL
1920,6552,"2016-01-30 20:25:48","2016-01-30 20:25:48","石原 舞","石原舞です(●'▽')ﾉガジェットリンク所属◆L.I.N.K.s◆「アンジュ・ヴィエルジュ」(ソフィーナ)「ガールズ＆パンツァー」(オレンジペコ/スズキ)「ウィッチクラフトワークス」(深影棗) 「大図書館の羊飼い-Library Party-」(土岐のぞみ) など",790,174,412,"jyagamai","http://pbs.twimg.com/profile_images/620554101693157376/UBOZfu97_normal.jpg",7312,NULL
1921,6495,"2016-01-30 20:25:48","2016-01-30 20:25:48","水島裕","声優を営んでおります。2016年は「歌う一年」になりそうです。 まずは、1月17日の「還暦前夜LIVE」 から。",30,60,415,"goofyalice2013","http://pbs.twimg.com/profile_images/439930510517624832/ig2UPUq7_normal.jpeg",6407,NULL
1922,6456,"2016-01-30 20:25:48","2016-01-30 20:25:48","前田玲奈♡2/07ワンマンlive開催♡","声優。博多の女たい。昭和の香りとアイスの食べ過ぎ。「それでも世界は美しい」ニケ 「ももくり」早柿莉央 「石膏ボーイズ」山下絹枝「小麦ちゃんR」美鈴先生「俺物語」西城まりや 「BAR嫌われ野菜」トマトちゃん「Tokyo7thシスターズ」御園尾マナ 「HUNTER×HUNTER」マチ ♪フレイア LINEMUSICにて配信",182,172,367,"renamaeda07","http://pbs.twimg.com/profile_images/683986888655372289/bU1jEkNb_normal.jpg",2905,NULL
1924,6199,"2016-01-30 20:25:48","2016-01-30 20:25:48","山田悠希","新人声優の山田悠希(ゆき)です。北海道出身。洋画と歌が大好きです！よろしくお願いします(•̀ᴗ•́) ハルチカ/後藤朱里 リドル/しえな 艦これ/阿賀野型 空戦魔導士/クロエ ロスレガ/リリィ ぷよクエ/グレイス&ロコ メイデンクラフト/美浦和歌 ✳︎Dual Flare『新妹魔王の契約者BURST』ED ✳︎",356,147,367,"yamada_yuki57","http://pbs.twimg.com/profile_images/687352489524334593/1SeReHja_normal.jpg",1876,NULL
1925,6037,"2016-01-30 20:25:48","2016-01-30 20:25:48","鳴海杏子","声優・鳴海杏子をやらせていただいております。 アニメ『はなかっぱ』クッペ役 『てーきゅう』『高宮なすのです！』高宮なすの役 等 吹替え『U Want Me 2 Kill Him』ゾーイ役 等 CD『メニメニマニマニ』『CocoiroRainbow』等 ラジオ『あのぅ、隣、いいですか？』 舞台版てーきゅう 高宮なすの役",103,109,304,"narumi_kyoko","http://pbs.twimg.com/profile_images/632932980051214336/vuPeE1ND_normal.jpg",1092,NULL
1926,6058,"2016-01-30 20:25:48","2016-01-30 20:25:48","一木千洋（いっきちひろ）@声優自撮り部","声優 ワールドトリガー 月見蓮・日浦茜/遊戯王ARC-V フランク/ディバゲ ラモラック/ドキプリ 八嶋/くつだる。カー坊/俺ツイ/神クロ 不知火エリ/ロボガZ online 一角鬼/Trefle/おじゃラジ/ファミ通ゲーマーズエンジェル/ #声優自撮り部 https://t.co/rzNRPpVurq",1362,345,351,"ikkichihiro","http://pbs.twimg.com/profile_images/680376442203447296/5Jcqo3y1_normal.jpg",19526,NULL
1927,5866,"2016-01-30 20:25:48","2016-01-30 20:25:48","高井舞香@東京ハーレムサービス開始！","【出演】車なご（プリウスetc.）天クラ（アネット）ディスワ（ミア）ハナヤマタ（ゆっちん）ナナシス（カジカ）LIVE2DLive（ハル）みのりスクランブル！（晃）パブー＆モジーズ（ロージー）あにらじっ♪（青山ひかり）ハロいつ！（桃 ) アニメミライ、マチ★アソビ、ニュータイプアニメアワード、電撃App他司会…",928,435,411,"takaichan18","http://pbs.twimg.com/profile_images/648881318260961280/Dhs_Wfjr_normal.jpg",9310,NULL
1928,5727,"2016-01-30 20:25:48","2016-01-30 20:25:48","鈴木美咲","声優をやっております。福島県会津若松市からやってきました！まだまだ新人ですが頑張っていきます！よろしくお願いします♪ 麺類大好き♡",20,184,312,"misaki31mii","http://pbs.twimg.com/profile_images/681146648278372352/izR-xEvM_normal.jpg",7334,NULL
1929,5704,"2016-01-30 20:25:48","2016-01-30 20:25:48","清都ありさ","（株）アクロスエンタテインメントでお世話になっています、清都ありさです。 あだ名はきよとろです！ヽ( ・▽・ )ﾉ♪.｡ﾟ+.‧⁺✧︎*",253,371,273,"kiyotorou","http://pbs.twimg.com/profile_images/598124921701539840/Z8IMhMnW_normal.jpg",7294,NULL
1930,5604,"2016-01-30 20:25:48","2016-01-30 20:25:48","釘宮理恵","釘宮理恵が大好きなおじさんです。",1,5710,166,"kugimiyarie","http://pbs.twimg.com/profile_images/1311402355/rie_normal.jpg",342,NULL
1931,5634,"2016-01-30 20:25:48","2016-01-30 20:25:48","河西健吾","マウスプロモーション所属。機動戦士ガンダム鉄血のオルフェンズ(三日月オーガス) モンスト（影月明） サイコブレイク（レスリー）等 色々な作品に出ておりますので探してみてね。",0,219,245,"Kengokawanishi","http://pbs.twimg.com/profile_images/1319379829/photo_normal.jpg",4195,NULL
1932,5404,"2016-01-30 20:25:48","2016-01-30 20:25:48","内匠靖明","俳協所属。右投げ右打ち。  現在放送中 ディズニーチャンネル「なんだかんだワンダー」ワンダー役 。 「機動戦士ガンダム 鉄血のオルフェンズ」昭弘・アルトランド役。 2016年１月放送予定「ナースウィッチ小麦ちゃんＲ」橘優斗役。",2,257,272,"takumi_yasuaki","http://pbs.twimg.com/profile_images/1443189414/icon3180942340649911495100207_130553_normal.gif",3135,NULL
1933,5298,"2016-01-30 20:25:48","2016-01-30 20:25:48","月宮みどり","新人声優月宮みどりです！アニ☆ゆめproject所属。マイペースに呟きます。出演→「これはゾンビですか？」ユー役、「R-15」香学創役、「いつか天魔の黒ウサギ」ニャン吉役、「えびてん」伊勢田結花役 、「デート・ア・ライブ」美衣役",16,188,400,"tsuki_m_m","http://pbs.twimg.com/profile_images/660820056314548225/EujiqtGi_normal.jpg",5173,NULL
1934,5255,"2016-01-30 20:25:48","2016-01-30 20:25:48","金丸淳一  voice actor","かねまる じゅんいち 声優  ソニックシリーズ/ソニック、サイバーフォーミュラ/風見ハヤト、忍たま乱太郎/不破雷蔵、ママレードボーイ/須王銀太、すごいよ！マサルさん/フーミン、ピューと吹く！ジャガー/ピヨ彦、 トーマス/ヘンリー、暁のヨナ/イクスなど。mail➡  junichisonic@yahoo.co.jp",0,0,287,"junichisonic","http://pbs.twimg.com/profile_images/518211514327527425/RdFDf0pA_normal.jpeg",5093,NULL
1935,5175,"2016-01-30 20:25:48","2016-01-30 20:25:48","三宅 淳一","声のお仕事やってます。ツイートはマイペースにつぶやいていきます。リプライはタイミングが合えばお返しすることもあるかもです！フォロー等はご自由にどうぞ☆官能的なフェラーリにやられてます！！",0,101,401,"_MiyaJun_","http://pbs.twimg.com/profile_images/2809175839/53b9cf42ad57252857c0a0ebea3b4f7c_normal.jpeg",4687,NULL
1936,5126,"2016-01-30 20:25:48","2016-01-30 20:25:48","篠田みなみ","＊VIMSの声優、篠田みなみです＊ 炒飯とアメコミが好き＊「Tokyo7thシスターズ」春日部ハル役「千メモ」ミラベル、ミア役、「ディスワ」フラワー、シュトゥルム役 「ゴッドイーター」＊他",235,96,340,"minami_shinoda","http://pbs.twimg.com/profile_images/667964210064654336/4oq0rFG7_normal.jpg",1233,NULL
1937,4920,"2016-01-30 20:25:48","2016-01-30 20:25:48","小杉十郎太","声優・ナレーターの小杉十郎太に関する情報をつぶやくアカウントです。http://t.co/dkaa0ALIBkと連動中！",21,4876,260,"kosugi_jurota","http://pbs.twimg.com/profile_images/3754142634/005ab833758c065ecb405e8eeadf4419_normal.jpeg",243,NULL
1938,4743,"2016-01-30 20:25:48","2016-01-30 20:25:48","桐村まり","はじめまして、桐村まりです☆ 声優をしております！今日もきりっとがんばります！(｀・ω・´)ゞ ガールズ＆パンツァー 河西忍役 コズミックブレイク リーシャ役 リプは気まぐれです(ﾉ∀＼*)",74,310,325,"kirimari26","http://pbs.twimg.com/profile_images/656498911427694592/Zy39YJ4N_normal.jpg",9350,NULL
1939,4695,"2016-01-30 20:25:48","2016-01-30 20:25:48","多田このみ@10ｸﾞﾗｺﾛ5ﾃﾞﾐﾁｰ","声優♪【チクタク・タウン/トミー】【 ラジオ ウサギさんチーム、訓練中！ 】【ヘンリーハグルモンスター/アイボー、ガーティ】【ちいさなプリンセスソフィア/ザンダー】【ちゃおちゃおTV】【ガールズ＆パンツァー/阪口桂利奈】等♡〒107-0052 東京都港区赤坂7-6-15 赤坂ロイヤルビル B505 ディーカラー",75,137,294,"minsan04","http://pbs.twimg.com/profile_images/657778623764496384/JimuyeFQ_normal.jpg",15407,NULL
1940,4997,"2016-01-30 20:25:48","2016-01-30 20:25:48","松本保典","",62,1,358,"ryouta3527","http://pbs.twimg.com/profile_images/3771866793/b0b9f1cf863daa387d12f5340e6bd1cc_normal.jpeg",1252,NULL
1941,4527,"2016-01-30 20:25:48","2016-01-30 20:25:48","喜多丘千陽","エシャレット・にんにく・餃子・お酒が好きすぎる。
お芝居してます。 
2016年2月18日〜21日。
集団as if~第15回本公演『守里の双眸』(もりのまなざし)",28,216,405,"chiharu_kitaoka","http://pbs.twimg.com/profile_images/674796434764357632/oJ_iv_6E_normal.jpg",6016,NULL
1942,4497,"2016-01-30 20:25:48","2016-01-30 20:25:48","上村彩子","Ｓサイズのチョコ好き声優・上村彩子です。☆(=①ω①=)☆ 猫らぶ☆埼玉西武ライオンズ応援中☆【野球がぁる/惡の華／戦場の絆第07板倉小隊／乙女ぶれいく！／TRPG】 ※お会いした事ある方はリプいただけると嬉しいです！",241,334,277,"uemura_ayako","http://pbs.twimg.com/profile_images/670248276843597825/Mf8rADDh_normal.jpg",13237,NULL
1943,4504,"2016-01-30 20:25:48","2016-01-30 20:25:48","北原知奈","【キタキタ北原ー＼(^o^)／】新人声優の北原知奈です♪ ＜賢プロダクション所属＞ 紅茶中毒者にしてサンホラー。　◆出演◆「ガンスリンガーストラトス２」綾小路咲良/「弱虫ペダル」委員長(宮原)/「アニメSB69」まりまり/「黒猫のウィズ」エマ/「あべながの野望」初代アシスタント/「ヤング・ジャスティス」メーガン…等々♪",573,261,139,"Jyouou_Heika","http://pbs.twimg.com/profile_images/688752180354891777/ZixF7saC_normal.jpg",9183,NULL
1944,4377,"2016-01-30 20:25:48","2016-01-30 20:25:48","道井悠","AIR AGENCYの声優 道井悠(みちいはるか)です。 調理師免許取得。NO DAY BUT TODAY。web番組「sunsetTV」/「Bar嫌われ野菜」パセリ /「Tokyo 7th シスターズ」 神城スイ/ 「思春期ビターチェンジ」CM/蒼穹のスカイガレオン /「東京チカラめし」店内ナレーション/他",2664,112,318,"michiiharu","http://pbs.twimg.com/profile_images/686768872280571913/fKmesDT3_normal.jpg",9730,NULL
1945,4138,"2016-01-30 20:25:48","2016-01-30 20:25:48","小林未沙@デビアスS2OA中","声優・ナレーター・麻雀実況キャスター・時たま歌手。言語は日英(中も勉強中)・歌はソプラノ(B2〜E6)・バイオリン弾きでベース弾き。いつも心にモテない替え歌♡ヘッダー画像はいでえいじ先生☆トライブクルクル、殺人を無罪にする方法、デビアスなメイドたち、ジュラシックワールド等出演☆",43,712,209,"kbysms","http://pbs.twimg.com/profile_images/683553876289560576/BQtf06qL_normal.jpg",6043,NULL
1946,4019,"2016-01-30 20:25:48","2016-01-30 20:25:48","佐藤奏美","声のお仕事しています。デートアライブⅡ/岡峰美紀恵,ログ・ホライズン2/浮世,ガールズ&パンツァー/アリーナ,ノラガミ/紝巴,K/因幡澄香,FAIRYTAIL/ジェミニ、ピスケス,アカメが斬る！/アリア,ハイキュー‼︎/アヤ,うたプリ/神宮寺レン幼少,鬼灯の冷徹/鞠,など…よろしくお願いします。",1684,237,186,"kanamin0716","http://pbs.twimg.com/profile_images/672396318606684160/6t4ymXbe_normal.jpg",4592,NULL
1947,3982,"2016-01-30 20:25:48","2016-01-30 20:25:48","村井理沙子","新人声優の村井理沙子と申します(*´ε｀*)自由につぶやいておりますよろしくです！げんき！TVアニメ「デート・ア・ライブⅡ」亜衣役、ゲーム「NAtURAL DOCtRINE」アンカ役、アプリ「メイデンクラフト」渡良瀬頼子役、アニ・メーター応援隊長、アニ☆ゆめprojectリーダー",124,189,248,"muramuraR","http://pbs.twimg.com/profile_images/680402838355197952/1QGcNFcb_normal.jpg",8119,NULL
1948,3955,"2016-01-30 20:25:48","2016-01-30 20:25:48","柏山奈々美","声優。 マイペース。出演アニメ『メカクシティアクターズ』如月モモ、『R-15』園声謡江『リコーダーとランドセル』『庶民サンプル』など。 ♡『Trefle』 2016/4/6『桜』発売。   サンミュージックプロダクション所属 https://t.co/u3lm32e8fE",8,347,258,"nanamin7327","http://pbs.twimg.com/profile_images/660841784960880640/9xMwH7tC_normal.jpg",6676,NULL
1949,3882,"2016-01-30 20:25:48","2016-01-30 20:25:48","三村ロンド(Rondo Mimura)","TVナレーター“お耳の恋人”三村ロンド公式。シューイチ/世界まる見え!テレビ特捜部/ものまねグランプリ/バズリズム/キラきら時間/ゲンキの時間/虎ノ門市場SP/30秒後に絶対見られるTV/BSフジNAVI/GTV/Jリーグマッチデーハイライト/湘南ベルマーレスタジアムナビゲーター/K-1 WORLD GPetc.",32,588,196,"rondomimura","http://pbs.twimg.com/profile_images/591037253515808768/E-IIsDM-_normal.jpg",22400,NULL
1950,3899,"2016-01-30 20:25:48","2016-01-30 20:25:48","川崎芽衣子","AIR AGENCY所属☆ 蒼穹のスカイガレオン/ダンボール戦機ウォーズ・仙道キヨカ/シェルノ アルノサージュ・ジル /ディアブロ3・デーモンハンター♀/Tokyo7thシスターズ・若王子ルイ/逆転オセロニア・ドライアド＊リプは気まぐれですが、よろしくお願いします♪ ＊",954,169,298,"kawasakimeiko","http://pbs.twimg.com/profile_images/672251362499911680/AyTklxM7_normal.jpg",13455,NULL
1951,3797,"2016-01-30 20:25:48","2016-01-30 20:25:48","長妻樹里＠未来SKY 4/8発売","長妻樹里の期間限定アカウントです！
2ndシングル『未来SKY』 2015.04.08リリース！!
長妻樹里のごはんにする？おふろにする？それともラジオ？毎週月曜21：00～21：30リスラジ内にて絶賛放送中!!",0,0,207,"Juri_Nagatsuma","http://pbs.twimg.com/profile_images/583577878899458048/1TKillFw_normal.jpg",134,NULL
